product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank,label,product_category_idx,product_category_vec,unscaled_features,features,prediction
B00003GPFT,Blue Streak,Video_DVD,96,106,262,33,0,4.15625,1.1041666666666667,2.7291666666666665,4.424242424242424,,8.364583333333334,2.5568944573443413,0.40458015267175573,0.34375,0.0,0.3942800927552526,0.3942800927552526,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.15625, 96.0, 2.7291666666666665, 1.1041666666666667]","[2.287549822185683, 0.0, 8.26567598125751, 0.4311763772558913, 0.7142653486231381, 0.4090601087391248]",0.3180561464141096
B00005BIGE,Rayman Advance,Video_Games,66,170,279,6,0,4.181818181818182,2.5757575757575757,4.2272727272727275,4.333333333333333,,15.515151515151516,3.4823628812265177,0.6093189964157706,0.09090909090909091,0.0,0.8596361848574238,0.8596361848574238,1.0,"(0.0, 1.0)","[0.0, 1.0, 4.181818181818182, 66.0, 4.2272727272727275, 2.5757575757575757]","[0.0, 2.662764508463255, 8.316524295564632, 0.29643375936342525, 1.1063429966182126, 0.9542397047773751]",0.6844828592602221
B00005EBC1,GT Advance Championship Racing,Video_Games,43,123,185,2,0,3.7209302325581395,2.86046511627907,4.3023255813953485,4.0,,14.534883720930232,3.010887284104437,0.6648648648648648,0.046511627906976744,0.0,0.8087512291052114,0.8087512291052114,1.0,"(0.0, 1.0)","[0.0, 1.0, 3.7209302325581395, 43.0, 4.3023255813953485, 2.86046511627907]","[0.0, 2.662764508463255, 7.399940728106042, 0.19313108564586798, 1.1259854954328894, 1.059715174197364]",0.6186416056398402
B00005Q8LV,Wave Race: Blue Storm,Video_Games,99,259,566,9,0,3.888888888888889,2.6161616161616164,5.717171717171717,4.333333333333333,,15.393939393939394,3.190838432305601,0.4575971731448763,0.09090909090909091,0.0,0.752826941986234,0.752826941986234,1.0,"(0.0, 1.0)","[0.0, 1.0, 3.888888888888889, 99.0, 5.717171717171717, 2.6161616161616164]","[0.0, 2.662764508463255, 7.733965830416384, 0.4446506390451379, 1.4962727266090998, 0.9692081707346674]",0.6905206632805906
B00005R248,The Enigma of Kaspar Hauser,Video_DVD,27,176,211,11,0,4.666666666666667,6.518518518518518,7.814814814814815,4.454545454545454,,36.96296296296296,4.39026159026159,0.8341232227488151,0.4074074074074074,0.0,0.9094230904363713,0.9094230904363713,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.666666666666667, 27.0, 7.814814814814815, 6.518518518518518]","[2.287549822185683, 0.0, 9.280758996499662, 0.12126835610321943, 2.045258538551072, 2.414912507776468]",0.7640171676571583
B00005R249,Clockwise,Video_DVD,33,78,97,19,0,4.363636363636363,2.3636363636363638,2.9393939393939394,4.526315789473684,,14.121212121212121,4.088406038406038,0.8041237113402062,0.5757575757575758,0.0,0.47445717096479517,0.47445717096479517,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.363636363636363, 33.0, 2.9393939393939394, 2.3636363636363638]","[2.287549822185683, 0.0, 8.678112308415267, 0.14821687968171263, 0.7692850944226998, 0.8756552585015913]",0.4128367867305449
B00005V4XD,Strait-Jacket,Video_DVD,63,235,319,28,0,4.412698412698413,3.7301587301587302,5.063492063492063,4.464285714285714,,21.26984126984127,3.490074705300269,0.7366771159874608,0.4444444444444444,0.0,0.47445717096479517,0.47445717096479517,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.412698412698413, 63.0, 5.063492063492063, 3.7301587301587302]","[2.287549822185683, 0.0, 8.775683676962265, 0.28295949757417865, 1.3251945980997806, 1.3819101607000082]",0.5873413217383064
B00005V9NU,Digimon Rumble Arena,Video_Games,46,130,188,15,0,4.5,2.8260869565217392,4.086956521739131,4.666666666666667,,17.08695652173913,3.895252445763955,0.6914893617021277,0.32608695652173914,0.0,0.3173549655850541,0.3173549655850541,1.0,"(0.0, 1.0)","[0.0, 1.0, 4.5, 46.0, 4.086956521739131, 2.8260869565217392]","[0.0, 2.662764508463255, 8.949303318053245, 0.20660534743511458, 1.0696200640516427, 1.0469791134258157]",0.41144020243279583
B00006AUIN,The Stand,Video_DVD,163,301,855,69,0,4.3496932515337425,1.8466257668711656,5.245398773006135,4.768115942028985,,11.760736196319018,2.5307290987668085,0.352046783625731,0.4233128834355828,0.0,0.6404328578455485,0.6404328578455485,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.3496932515337425, 163.0, 5.245398773006135, 1.8466257668711656]","[2.287549822185683, 0.0, 8.650383166325495, 0.7321015572157321, 1.3728024121900242, 0.6841185844499218]",0.6470749939522893
B00006G8K0,Horror of Dracula,Video_DVD,287,598,952,109,0,4.581881533101045,2.083623693379791,3.317073170731707,4.678899082568807,,13.738675958188153,3.6090752468716953,0.6281512605042017,0.3797909407665505,0.0,0.8266460543883072,0.8266460543883072,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.581881533101045, 287.0, 3.317073170731707, 2.083623693379791]","[2.287549822185683, 0.0, 9.112143912690682, 1.2890377111712583, 0.8681296212645402, 0.7719190954735282]",0.5959749513485914
