product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,sentiment_score_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank
B000059PPT,Stroszek,Video_DVD,26,120,160,5,0,4.730769230769231,4.615384615384615,6.153846153846154,5.0,,26.76923076923077,4.102478929141333,5.653846153846154,0.75,0.19230769230769232,0.0,0.7578525753636427
B0002X7GW0,As Tears Go By,Video_DVD,3,13,17,1,0,4.666666666666667,4.333333333333333,5.666666666666667,5.0,,23.333333333333332,3.8034188034188037,13.666666666666666,0.7647058823529411,0.3333333333333333,0.0,0.720609936055091
B000056QAJ,Cross of Iron,Video_DVD,1,0,1,1,0,5.0,0.0,1.0,5.0,,5.0,2.5,0.0,0.0,1.0,0.0,0.600660529829246
B00009PY2T,The Brood,Video_DVD,48,174,361,11,0,3.75,3.625,7.520833333333333,3.6363636363636362,,17.791666666666668,2.087147543430415,-0.8541666666666666,0.481994459833795,0.22916666666666666,0.0,0.600660529829246
B00KCY65G2,Attila Marcel,Video_DVD,3,1,1,0,0,4.333333333333333,0.3333333333333333,0.3333333333333333,,,5.666666666666667,4.333333333333333,1.3333333333333333,1.0,0.0,0.0,0.600660529829246
B00005JKWN,Death to Smoochy,Video_DVD,30,129,257,4,0,3.6666666666666665,4.3,8.566666666666666,4.75,,19.833333333333332,3.103297036783879,3.1666666666666665,0.5019455252918288,0.13333333333333333,0.0,0.31761647108425267
6305095469,Dracula: Prince of Darkness,Video_DVD,38,117,200,5,0,3.9210526315789473,3.0789473684210527,5.2631578947368425,3.6,,16.55263157894737,2.8564939093977206,4.684210526315789,0.585,0.13157894736842105,0.0,0.3942800927552526
B00PS39ONI,My Old Lady,Video_DVD,113,308,380,103,0,3.672566371681416,2.725663716814159,3.3628318584070795,3.6990291262135924,,16.31858407079646,3.315553791224112,3.8761061946902653,0.8105263157894737,0.911504424778761,0.0,0.3942800927552526
1450700543,The Gospel According to Matthew,Video_DVD,106,369,465,100,0,4.660377358490566,3.481132075471698,4.386792452830188,4.74,,20.943396226415093,4.366936402723394,5.952830188679245,0.7935483870967742,0.9433962264150944,0.0,0.8856721242358232
B00003CY6N,Ghosts of Mars,Video_DVD,35,130,207,0,0,3.1714285714285713,3.7142857142857144,5.914285714285715,,,15.8,2.6186201547184846,4.257142857142857,0.6280193236714976,0.0,0.0,0.07181505164781112
B00005UNW2,Zone of the Enders: The Fist of Mars,Video_Games,20,44,60,4,0,4.25,2.2,3.0,3.75,,14.3,3.8794705294705296,8.0,0.7333333333333333,0.2,0.0,0.4938544739429695
B00005JPNP,Factory Girl,Video_DVD,1,23,27,0,0,4.0,23.0,27.0,,,96.0,3.4285714285714284,12.0,0.8518518518518519,0.0,0.0,0.43391188251001334
B004RPQSN2,The Ambulance,Video_DVD,6,6,10,5,0,4.333333333333333,1.0,1.6666666666666667,4.4,,8.333333333333334,2.9722222222222228,6.166666666666667,0.6,0.8333333333333334,0.0,0.35577260909282554
B00F3TDA6O,Sweetwater,Video_DVD,79,168,248,65,0,4.037974683544304,2.1265822784810124,3.1392405063291138,4.015384615384615,,12.455696202531646,3.593652647003803,3.5063291139240507,0.6774193548387096,0.8227848101265823,0.0,0.35577260909282554
B00HDAG7DO,Barbie: The Pearl Princess,Video_DVD,91,62,95,82,0,4.7032967032967035,0.6813186813186813,1.043956043956044,4.7073170731707314,,7.648351648351649,4.540239097174539,3.791208791208791,0.6526315789473685,0.9010989010989011,0.0,0.35577260909282554
B006O6GUFS,Barbie in A Mermaid Tale 2,Video_DVD,128,73,132,113,0,4.625,0.5703125,1.03125,4.646017699115045,,7.3046875,4.297042750743408,5.2734375,0.553030303030303,0.8828125,0.0,0.35577260909282554
